,Price,Area,Location,No. of Bedrooms,Resale,ShoppingMall,ATM,School,Hospital,VaastuCompliant,City,Amenities,Furnitioned,Capacity(no. of people)
30,110.0,1000,Sector 24 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
31,125.0,1550,Sector 11 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
32,148.0,1800,Sector 23 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0
33,125.0,600,Sector 12 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0
34,33.0,385,Sector 23 Dwarka,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,2.0
35,1100.0,2500,West End,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0
36,50.0,1000,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
37,175.0,1300,Sector 9 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
38,36.0,1050,Mundka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0
39,165.0,1600,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,6.0
40,125.0,1000,Sector 13 Rohini,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0
41,27.5,630,Jamia Nagar,2.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,4.0
42,235.0,2000,Sector 19 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0
43,162.0,1600,Sector 10 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0
44,135.0,1350,Sector 24 Rohini,4.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,8.0
45,55.0,1000,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
46,55.0,1000,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
47,36.21,900,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0
48,92.0,1200,Sector 17 Dwarka,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,4.0
49,104.0,1125,Sector 23 Rohini,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
50,23.5,415,Sector 23 Dwarka,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,2.0
51,80.0,1500,Dwarka Mor,4.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,8.0
52,35.0,675,Bindapur,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
53,148.0,1750,Sector-18 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
