,Price,Area,Location,No. of Bedrooms,Resale,ShoppingMall,ATM,School,Hospital,VaastuCompliant,City,Amenities,Furnitioned,Capacity(no. of people),clusters
201,100.0,1100,Sector 7 Dwarka,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
202,145.0,1700,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
203,145.0,1700,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
204,155.0,1600,Sector 10 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
205,155.0,1600,Sector 10 Dwarka,3.0,1,1.0,1.0,1.0,1.0,1.0,Delhi,1,1,6.0,3
206,145.0,1500,Sector 4 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
207,145.0,1500,Sector 4 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
208,165.0,1600,Sector 12 Dwarka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,6.0,2
209,172.0,1800,Sector 22 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,2
210,209.0,2200,Sector 11 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0,2
211,195.0,1900,Sector 4 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
212,158.0,1700,Sector 13 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
213,170.0,1800,Sector 23 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,2
214,160.0,2000,Sector 22 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,2
215,175.0,2000,Sector 23 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
216,149.0,1800,Sector 23 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
217,145.0,1900,Pochanpur Colony,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
218,170.0,1600,Sector 22 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
219,145.0,1900,Pochanpur Colony,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
220,200.0,2400,Sector 11 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0,2
221,145.0,1800,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,6.0,2
222,165.0,1800,Sector 11 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
223,160.0,1800,Sector 11 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
224,155.0,1700,Sector 11 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
